Kön,Utbildningsområde,År,Antal ansökningar
kvinnor,Data/It,2020,878
kvinnor,Data/It,2020,433
kvinnor,Data/It,2020,445
kvinnor,Data/It,2020,433
kvinnor,Data/It,2020,205
kvinnor,Data/It,2020,228
kvinnor,Data/It,2020,19
kvinnor,Data/It,2020,8
kvinnor,Data/It,2020,11
kvinnor,Data/It,2020,8
kvinnor,Data/It,2020,6
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,16
kvinnor,Data/It,2020,4
kvinnor,Data/It,2020,12
kvinnor,Data/It,2020,13
kvinnor,Data/It,2020,8
kvinnor,Data/It,2020,5
kvinnor,Data/It,2020,4
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,5
kvinnor,Data/It,2020,4
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,5
kvinnor,Data/It,2020,4
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,77
kvinnor,Data/It,2020,48
kvinnor,Data/It,2020,29
kvinnor,Data/It,2020,19
kvinnor,Data/It,2020,11
kvinnor,Data/It,2020,8
kvinnor,Data/It,2020,192
kvinnor,Data/It,2020,95
kvinnor,Data/It,2020,97
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,18
kvinnor,Data/It,2020,12
kvinnor,Data/It,2020,6
kvinnor,Data/It,2020,11
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,10
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,6
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,4
kvinnor,Data/It,2020,11
kvinnor,Data/It,2020,5
kvinnor,Data/It,2020,6
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,4
kvinnor,Data/It,2020,0
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,7
kvinnor,Data/It,2020,3
kvinnor,Data/It,2020,4
kvinnor,Data/It,2020,22
kvinnor,Data/It,2020,7
kvinnor,Data/It,2020,15
kvinnor,"Ekonomi, administration och försäljning",2020,3838
kvinnor,"Ekonomi, administration och försäljning",2020,1004
kvinnor,"Ekonomi, administration och försäljning",2020,2834
kvinnor,"Ekonomi, administration och försäljning",2020,1682
kvinnor,"Ekonomi, administration och försäljning",2020,396
kvinnor,"Ekonomi, administration och försäljning",2020,1286
kvinnor,"Ekonomi, administration och försäljning",2020,79
kvinnor,"Ekonomi, administration och försäljning",2020,14
kvinnor,"Ekonomi, administration och försäljning",2020,65
kvinnor,"Ekonomi, administration och försäljning",2020,63
kvinnor,"Ekonomi, administration och försäljning",2020,16
kvinnor,"Ekonomi, administration och försäljning",2020,47
kvinnor,"Ekonomi, administration och försäljning",2020,61
kvinnor,"Ekonomi, administration och försäljning",2020,17
kvinnor,"Ekonomi, administration och försäljning",2020,44
kvinnor,"Ekonomi, administration och försäljning",2020,57
kvinnor,"Ekonomi, administration och försäljning",2020,14
kvinnor,"Ekonomi, administration och försäljning",2020,43
kvinnor,"Ekonomi, administration och försäljning",2020,36
kvinnor,"Ekonomi, administration och försäljning",2020,12
kvinnor,"Ekonomi, administration och försäljning",2020,24
kvinnor,"Ekonomi, administration och försäljning",2020,24
kvinnor,"Ekonomi, administration och försäljning",2020,8
kvinnor,"Ekonomi, administration och försäljning",2020,16
kvinnor,"Ekonomi, administration och försäljning",2020,10
kvinnor,"Ekonomi, administration och försäljning",2020,0
kvinnor,"Ekonomi, administration och försäljning",2020,10
kvinnor,"Ekonomi, administration och försäljning",2020,20
kvinnor,"Ekonomi, administration och försäljning",2020,6
kvinnor,"Ekonomi, administration och försäljning",2020,14
kvinnor,"Ekonomi, administration och försäljning",2020,450
kvinnor,"Ekonomi, administration och försäljning",2020,160
kvinnor,"Ekonomi, administration och försäljning",2020,290
kvinnor,"Ekonomi, administration och försäljning",2020,115
kvinnor,"Ekonomi, administration och försäljning",2020,37
kvinnor,"Ekonomi, administration och försäljning",2020,78
kvinnor,"Ekonomi, administration och försäljning",2020,829
kvinnor,"Ekonomi, administration och försäljning",2020,240
kvinnor,"Ekonomi, administration och försäljning",2020,589
kvinnor,"Ekonomi, administration och försäljning",2020,35
kvinnor,"Ekonomi, administration och försäljning",2020,13
kvinnor,"Ekonomi, administration och försäljning",2020,22
kvinnor,"Ekonomi, administration och försäljning",2020,40
kvinnor,"Ekonomi, administration och försäljning",2020,18
kvinnor,"Ekonomi, administration och försäljning",2020,22
kvinnor,"Ekonomi, administration och försäljning",2020,57
kvinnor,"Ekonomi, administration och försäljning",2020,15
kvinnor,"Ekonomi, administration och försäljning",2020,42
kvinnor,"Ekonomi, administration och försäljning",2020,35
kvinnor,"Ekonomi, administration och försäljning",2020,11
kvinnor,"Ekonomi, administration och försäljning",2020,24
kvinnor,"Ekonomi, administration och försäljning",2020,55
kvinnor,"Ekonomi, administration och försäljning",2020,3
kvinnor,"Ekonomi, administration och försäljning",2020,52
kvinnor,"Ekonomi, administration och försäljning",2020,44
kvinnor,"Ekonomi, administration och försäljning",2020,3
kvinnor,"Ekonomi, administration och försäljning",2020,41
kvinnor,"Ekonomi, administration och försäljning",2020,29
kvinnor,"Ekonomi, administration och försäljning",2020,6
kvinnor,"Ekonomi, administration och försäljning",2020,23
kvinnor,"Ekonomi, administration och försäljning",2020,57
kvinnor,"Ekonomi, administration och försäljning",2020,3
kvinnor,"Ekonomi, administration och försäljning",2020,54
kvinnor,"Ekonomi, administration och försäljning",2020,23
kvinnor,"Ekonomi, administration och försäljning",2020,0
kvinnor,"Ekonomi, administration och försäljning",2020,21
kvinnor,"Ekonomi, administration och försäljning",2020,37
kvinnor,"Ekonomi, administration och försäljning",2020,10
kvinnor,"Ekonomi, administration och försäljning",2020,27
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
kvinnor,Friskvård och kroppsvård,2020,0
