"kön","utbildningsområde MYH","region (hemlän)","utbildningens studietakt","Antal ansökningar 2020","Antal ansökningar 2021","Antal ansökningar 2022","Antal ansökningar 2023","Antal ansökningar 2024","Antal sökande 2020","Antal sökande 2021","Antal sökande 2022","Antal sökande 2023","Antal sökande 2024","Antal behöriga sökande 2020","Antal behöriga sökande 2021","Antal behöriga sökande 2022","Antal behöriga sökande 2023","Antal behöriga sökande 2024","Antal antagna vid start 2020","Antal antagna vid start 2021","Antal antagna vid start 2022","Antal antagna vid start 2023","Antal antagna vid start 2024"
"totalt","Totalt","Samtliga län","Totalt",12707,15799,23024,39041,48459,9684,11569,15649,24379,29404,7064,8392,10390,17642,21381,4675,5511,7312,12612,15525
"totalt","Totalt","Samtliga län","Heltid",4117,1815,1792,7577,6655,3393,1541,1592,5929,5522,2367,1092,1089,4116,3547,1500,814,856,2744,2568
"totalt","Totalt","Samtliga län","Deltid",8590,13984,21232,31464,41804,6912,10473,14386,20405,25615,5047,7591,9494,14711,18826,3269,4810,6560,10290,13405
"totalt","Totalt"," Stockholms län","Totalt",4583,5377,7107,12668,15725,3334,3811,4733,7643,9199,2395,2756,3157,5493,6828,1487,1722,2211,4039,4977
"totalt","Totalt"," Stockholms län","Heltid",1417,566,485,1980,1519,1132,478,415,1544,1266,768,341,289,1008,784,425,215,231,675,572
"totalt","Totalt"," Stockholms län","Deltid",3166,4811,6622,10688,14206,2437,3519,4419,6680,8424,1767,2547,2930,4808,6308,1095,1553,2018,3495,4530
"totalt","Totalt"," Uppsala län","Totalt",344,511,807,1453,1690,282,380,571,905,1105,190,255,380,636,756,118,186,294,480,567
"totalt","Totalt"," Uppsala län","Heltid",121,59,77,284,241,102,53,68,218,203,62,40,45,138,119,38,37,38,97,92
"totalt","Totalt"," Uppsala län","Deltid",223,452,730,1169,1449,196,338,519,761,962,136,223,342,540,669,82,153,259,400,491
"totalt","Totalt"," Södermanlands län","Totalt",307,432,598,897,1297,256,342,448,599,806,184,228,289,409,563,122,155,193,273,400
"totalt","Totalt"," Södermanlands län","Heltid",78,26,49,182,181,67,23,45,140,145,49,16,24,95,97,36,12,22,63,74
"totalt","Totalt"," Södermanlands län","Deltid",229,406,549,715,1116,196,324,408,504,711,138,215,267,339,492,88,145,172,219,337
"totalt","Totalt"," Östergötlands län","Totalt",372,514,789,1295,1749,307,404,574,834,1091,218,282,385,597,769,141,193,272,389,534
"totalt","Totalt"," Östergötlands län","Heltid",99,57,54,278,242,92,48,49,207,200,72,26,28,139,126,50,21,21,85,78
"totalt","Totalt"," Östergötlands län","Deltid",273,457,735,1017,1507,233,370,530,709,958,154,260,359,510,678,94,172,253,324,469
