"kön";"utbildningens inriktning";"region där utbildningen bedrivs";"utbildningens studietakt";"utbildningens studieform";"utbildningens längd";"utbildningens examenstyp";"Antal studerande 2020";"Antal studerande 2021";"Antal studerande 2022";"Antal studerande 2023";"Antal studerande 2024";"Antal examinerade 2020";"Antal examinerade 2021";"Antal examinerade 2022";"Antal examinerade 2023";"Antal examinerade 2024"
"totalt";"Totalt";"Samtliga län";"Heltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Totalt";38673;41916;42619;41547;41560;8370;9816;11897;10732;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Ingen examen (YH)";..;..;..;..;..;..;..;..;..;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Yrkeshögskoleexamen (YH)";37660;41247;41944;40825;40682;7947;9642;11742;10624;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Kvalificerad yrkeshögskoleexamen (YH)";1013;669;675;722;878;423;174;155;108;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Kvalificerad yrkesexamen (KY)";..;..;..;..;..;..;..;..;..;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Distans";"Minst 2 år mindre än 2,5 år";"Totalt";6556;8204;9870;11685;14053;948;1356;2187;2268;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Distans";"Minst 2 år mindre än 2,5 år";"Ingen examen (YH)";..;..;..;..;..;..;..;..;..;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Distans";"Minst 2 år mindre än 2,5 år";"Yrkeshögskoleexamen (YH)";6373;7906;9528;11287;13681;908;1325;2134;2132;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Distans";"Minst 2 år mindre än 2,5 år";"Kvalificerad yrkeshögskoleexamen (YH)";183;298;342;398;372;40;31;53;136;..
"totalt";"Totalt";"Samtliga län";"Heltid";"Distans";"Minst 2 år mindre än 2,5 år";"Kvalificerad yrkesexamen (KY)";..;..;..;..;..;..;..;..;..;..
"totalt";"Totalt";"Samtliga län";"Deltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Totalt";..;..;..;38;77;..;..;..;0;..
"totalt";"Totalt";"Samtliga län";"Deltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Ingen examen (YH)";..;..;..;..;..;..;..;..;..;..
"totalt";"Totalt";"Samtliga län";"Deltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Yrkeshögskoleexamen (YH)";..;..;..;38;77;..;..;..;0;..
"totalt";"Totalt";"Samtliga län";"Deltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Kvalificerad yrkeshögskoleexamen (YH)";..;..;..;..;..;..;..;..;..;..
"totalt";"Totalt";"Samtliga län";"Deltid";"Bunden";"Minst 2 år mindre än 2,5 år";"Kvalificerad yrkesexamen (KY)";..;..;..;..;..;..;..;..;..;..
"totalt";"Totalt";"Samtliga län";"Deltid";"Distans";"Minst 2 år mindre än 2,5 år";"Totalt";..;..;..;..;..;..;..;..;..;..
"totalt";"Totalt";"Samtliga län";"Deltid";"Distans";"Minst 2 år mindre än 2,5 år";"Ingen examen (YH)";..;..;..;..;..;..;..;..;..;..
